Ticker,Industry,Sector,Short Name,Country,Long Business Summary
GS,Capital Markets,Financial Services,"Goldman Sachs Group, Inc. (The)",United States,"The Goldman Sachs Group, Inc., a financial institution, provides a range of financial services for corporations, financial institutions, governments, and individuals worldwide. It operates through Global Banking & Markets, Asset & Wealth Management, and Platform Solutions segments. The Global Banking & Markets segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, and spin-offs; and relationship lending, and acquisition financing, as well as secured lending, through structured credit and asset-backed lending and involved in financing under securities to resale agreements. This segment also offers client execution activities for cash and derivative instruments; credit and interest rate products; and provision of mortgages, currencies, commodities, and equities related products, as well as underwriting services. The Asset & Wealth Management segment manages assets across various classes, including equity, fixed income, hedge funds, credit funds, private equity, real estate, currencies, and commodities; and provides customized investment advisory solutions, wealth advisory services, personalized financial planning, and private banking services, as well as invests in corporate equity, credit, real estate, and infrastructure assets. The Platform Solutions segment offers credit cards and point-of-sale financing for purchase of goods or services. This segment also provides cash management services, such as deposit-taking and payment solutions for corporate and institutional clients. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York."
PUMP,Oil & Gas Equipment & Services,Energy,ProPetro Holding Corp.,United States,"ProPetro Holding Corp. operates as an integrated oilfield services company. The company provides hydraulic fracturing, wireline, cementing, and other complementary oilfield completion services to upstream oil and gas companies in the Permian Basin. ProPetro Holding Corp. was founded in 2007 and is headquartered in Midland, Texas."
BLDR,Building Products & Equipment,Industrials,"Builders FirstSource, Inc.",United States,"Builders FirstSource, Inc., together with its subsidiaries, manufactures and supplies building materials, manufactured components, and construction services to professional homebuilders, sub-contractors, remodelers, and consumers in the United States. It offers lumber and lumber sheet goods comprising dimensional lumber, plywood, and oriented strand board products that are used in on-site house framing; manufactured products, such as wood floor and roof trusses, floor trusses, wall panels, stairs, and engineered wood products; and windows, and interior and exterior door units, as well as interior trims and custom products comprising intricate mouldings, stair parts, and columns under the Synboard brand name. The company also provides specialty building products and services, including vinyl, composite and wood siding, exterior trims, metal studs, cement, roofing, insulation, wallboards, ceilings, cabinets, and hardware products; turn-key framing, shell construction, design assistance, and professional installation services. In addition, it offers software products, such as drafting, estimating, quoting, and virtual home design services, which provide software solutions to retailers, distributors, manufacturers, and homebuilders. The company was formerly known as BSL Holdings, Inc. and changed its name to Builders FirstSource, Inc. in October 1999. Builders FirstSource, Inc. was incorporated in 1998 and is based in Irving, Texas."
HWC,Banks - Regional,Financial Services,Hancock Whitney Corporation,United States,"Hancock Whitney Corporation operates as the financial holding company for Hancock Whitney Bank that provides traditional and online banking services to commercial, small business, and retail customers. It offers various transaction and savings deposit products consisting of brokered deposits, time deposits, and money market accounts; treasury management services, secured and unsecured loan products including revolving credit facilities, and letters of credit and similar financial guarantees; and trust and investment management services to retirement plans, corporations, and individuals, and investment advisory and brokerage products. The company also provides commercial and industrial loans including real and non-real estate loans; construction and land development loans; and residential mortgages, as well as consumer loans. In addition, it offers commercial finance products to middle market and corporate clients, including leases and related structures; facilitates investments in new market tax credit activities and holding certain foreclosed assets; provides customers access to fixed annuity and life insurance products; and underwriting transactions products, as well as debt and mortgage-related securities. The company was founded in 1899 and is headquartered in Gulfport, Mississippi."
PAYO,Software - Infrastructure,Technology,Payoneer Global Inc.,United States,"Payoneer Global Inc. operates as a financial technology company. It operates a payment infrastructure platform that provides customers with a one-stop, global, multi-currency account to serve their accounts receivable and accounts payable needs. The company delivers a suite of services that includes cross-border payments, physical and virtual MasterCard cards, working capital, risk management, and other services. It also offers various payment options with minimal integration required, full back-office functions, and customer support offered. The company's platform delivers bank-grade security, stability, and redundancy. It serves customers, such as small and medium-sized businesses in approximately 190 countries and territories worldwide. Payoneer Global Inc. was founded in 2005 and is headquartered in New York, New York."
WSR,REIT - Retail,Real Estate,Whitestone REIT,United States,"Whitestone REIT (NYSE: WSR) is a community-centered real estate investment trust (REIT) that acquires, owns, operates, and develops open-air, retail centers located in some of the fastest growing markets in the country: Phoenix, Austin, Dallas-Fort Worth, Houston and San Antonio. Our centers are convenience focused: merchandised with a mix of service-oriented tenants providing food (restaurants and grocers), self-care (health and fitness), services (financial and logistics), education and entertainment to the surrounding communities. The Company believes its strong community connections and deep tenant relationships are key to the success of its current centers and its acquisition strategy."
AKR,REIT - Retail,Real Estate,Acadia Realty Trust,United States,"Acadia Realty Trust is an equity real estate investment trust focused on delivering long-term, profitable growth via its dual  Core Portfolio and Fund  operating platforms and its disciplined, location-driven investment strategy. Acadia Realty Trust is accomplishing this goal by building a best-in-class core real estate portfolio with meaningful concentrations of assets in the nation's most dynamic corridors; making profitable opportunistic and value-add investments through its series of discretionary, institutional funds; and maintaining a strong balance sheet."
DY,Engineering & Construction,Industrials,"Dycom Industries, Inc.",United States,"Dycom Industries, Inc. provides specialty contracting services to the telecommunications infrastructure and utility industries in the United States. The company offers engineering services to telecommunications providers, including the planning and design of aerial, underground, and buried fiber optic, copper, and coaxial cable systems; wireless networks in connection with the deployment of macro cell and new small cell sites; and program and project management and inspection personnel. It also provides construction, maintenance, and installation services for telephone companies and cable multiple system operators, such as placement and splicing of copper, fiber, and coaxial cables; tower construction, lines and antenna installation, foundation and equipment pad construction, and small cell site placement for wireless carriers, as well as equipment installation and material fabrication, and site testing services; underground facility locating services comprising locating telephone, cable television, power, water, sewer, and gas lines; installation and maintenance of customer premise equipment, including digital video recorders, set top boxes, and modems for cable system operators; and construction and maintenance services for electric and gas utilities, and other customers. Dycom Industries, Inc. was incorporated in 1969 and is headquartered in Palm Beach Gardens, Florida."
CLF,Steel,Basic Materials,Cleveland-Cliffs Inc.,United States,"Cleveland-Cliffs Inc. operates as a flat-rolled steel producer in North America. The company offers hot-rolled, cold-rolled, electrogalvanized, hot-dip galvanized, hot-dip galvannealed, aluminized, galvalume, enameling, and advanced high-strength steel products; austenitic, martensitic, duplex, precipitation hardening, and ferritic stainless steel products; plates; and grain oriented and non-oriented electrical steel products, as well as slab, scrap, iron ore, coal, and coke. It also provides tubular components, including carbon steel, stainless steel, and electric resistance welded tubing. In addition, the company offers tinplate products, such as electrolytic tin coated and chrome coated sheet, and tin mill products; tooling and sampling; ingots, rolled blooms, and cast blooms; and hot-briquetted iron products. Further, it owns five iron ore mines in Minnesota and Michigan. The company serves automotive, infrastructure and manufacturing, distributors and converters, and steel producers. The company was formerly known as Cliffs Natural Resources Inc. and changed its name to Cleveland-Cliffs Inc. in August 2017. Cleveland-Cliffs Inc. was founded in 1847 and is headquartered in Cleveland, Ohio."
ISRG,Medical Instruments & Supplies,Healthcare,"Intuitive Surgical, Inc.",United States,"Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and healthcare providers to enhance the quality of and access to minimally invasive care in the United States and internationally. The company offers the da Vinci Surgical System that enables complex surgery using a minimally invasive approach; and Ion endoluminal system, which extends its commercial offerings beyond surgery into diagnostic procedures enabling minimally invasive biopsies in the lung. It also provides a suite of stapling, energy, and core instrumentation for its multi-port da Vinci surgical systems; progressive learning pathways to support the use of its technology; infrastructure of service and support specialists, a complement of services to its customers, including installation, repair, maintenance, 24/7 technical support, and proactive system health monitoring; and integrated digital capabilities providing connected offerings, streamlining performance for hospitals with program-enhancing insights. The company sells its products through direct sales organizations, such as capital and clinical sales teams. It has a collaboration agreement with FluoGuide A/S for head & neck cancer. The company was incorporated in 1995 and is headquartered in Sunnyvale, California."
TWO,REIT - Mortgage,Real Estate,Two Harbors Investment Corp,United States,"Two Harbors Investment Corp. invests in, finances, and manages mortgage servicing rights (MSRs), agency residential mortgage-backed securities (RMBS), and other financial assets through RoundPoint in the United States. The company target assets include agency RMBS collateralized by fixed rate mortgage loans, adjustable rate mortgage loans, hybrid mortgage loans, or derivatives; and other assets, such as financial and mortgage-related assets, including non-agency securities and non-hedging transactions. It qualifies as a REIT for federal income tax purposes. As a REIT, the company must distribute at least 90% of annual taxable income to its stockholders. Two Harbors Investment Corp. was incorporated in 2009 and is headquartered in Saint Louis Park, Minnesota."
AJG,Insurance Brokers,Financial Services,Arthur J. Gallagher & Co.,United States,"Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance and reinsurance brokerage, consulting, and third-party property/casualty claims settlement and administration services to entities and individuals worldwide. It operates in Brokerage and Risk Management segments. The Brokerage segment offers retail and wholesale insurance and reinsurance brokerage services; assists retail brokers and other non-affiliated brokers in the placement of specialized and hard-to-place insurance; and acts as a brokerage wholesaler, managing general agent, and managing general underwriter for distributing specialized insurance coverages to underwriting enterprises. This segment performs activities, including marketing, underwriting, issuing policies, collecting premiums, appointing and supervising other agents, paying claims, and negotiating reinsurance; and offers services in the areas of insurance and reinsurance placement, risk of loss management, and management of employer sponsored benefit programs. The Risk Management segment provides contract claim settlement and administration services; and claims management, loss control consulting, and insurance property appraisal services. The company offers its services through a network of correspondent brokers and consultants. It serves commercial, industrial, public, religious, and nonprofit entities, as well as underwriting enterprises. Arthur J. Gallagher & Co. was founded in 1927 and is headquartered in Rolling Meadows, Illinois."
MA,Credit Services,Financial Services,Mastercard Incorporated,United States,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. The company offers integrated products and value-added services for account holders, merchants, financial institutions, digital partners, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts; prepaid programs services; and commercial credit, debit, and prepaid payment products and solutions. It also provides solutions that enable businesses or governments to make payments to businesses, including Virtual Card Number, which is generated dynamically from a physical card and leverages the credit limit of the funding account; a platform to optimize supplier payment enablement campaigns for financial institutions; and treasury intelligence platform that offers corporations with recommendations to enhance working capital performance and accelerate spend on cards. In addition, the company offers Mastercard Send, which partners with digital messaging and payment platforms to enable consumers to send money directly within applications to other consumers; and Mastercard Cross-Border Services enables a range of payment flows through a distribution network with a single point of access to send and receive money globally through various channels, including bank accounts, mobile wallets, cards, and cash payouts. Further, it provides cyber and intelligence solutions; insights and analytics, consulting, marketing, loyalty, processing, and payment gateway solutions for e-commerce merchants; and open banking and digital identity services. The company offers payment solutions and services under the MasterCard, Maestro, and Cirrus name. Mastercard Incorporated was founded in 1966 and is headquartered in Purchase, New York."
GMED,Medical Devices,Healthcare,"Globus Medical, Inc.",United States,"Globus Medical, Inc., a medical device company, develops and commercializes healthcare solutions for patients with musculoskeletal disorders in the United States and internationally. The company offers spine products, such as traditional fusion implants comprising pedicle screw and rod systems, plating systems, intervertebral spacers, and corpectomy devices for treating degenerative and congenital conditions, deformity, tumors, and trauma injuries; treatment options for motion preservation technologies that consist of dynamic stabilization, total disc replacement, and interspinous distraction devices; interventional solutions to treat vertebral compression fractures; and regenerative biologic products comprising of allografts and synthetic alternatives. It also offers products for the treatment of orthopedic trauma, including fracture plates, compression screws, intramedullary nails, and external fixation systems; and hip and knee joint solutions, including modular hip stems and acetabular cups, as well as posterior stabilizing and cruciate retaining knee arthroplasty implants. In addition, the company distributes human cell, tissue, and cellular and tissue-based products. It sells its products through direct or distributor sales representatives, as well as hip and knee products through independent sales agents. Globus Medical, Inc. was incorporated in 2003 and is headquartered in Audubon, Pennsylvania."
DLTR,Discount Stores,Consumer Defensive,"Dollar Tree, Inc.",United States,"Dollar Tree, Inc. operates retail discount stores. The company operates in two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $ 1.25. It provides consumable merchandise, which includes everyday consumables, such as household paper and chemicals, food, candy, health, personal care products, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods that include Christmas, Easter, Halloween, and Valentine's Day merchandise. It operates stores under the Dollar Tree and Dollar Tree Canada brands, as well as distribution centers in the United States and Canada. The Family Dollar segment operates general merchandise retail discount stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and personal care, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home décor, and giftware, as well as domestics, such as comforters, sheets, and towels. It also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Christmas, Easter, Halloween, and Valentine's Day merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. Dollar Tree, Inc. was founded in 1986 and is based in Chesapeake, Virginia."
RCM,Health Information Services,Healthcare,R1 RCM Inc.,United States,"R1 RCM Inc. provides technology-driven solutions for the financial performance and patient experience of health systems, hospitals, and physician groups. It provides operating partnership/end-to-end solutions, which manages multiple aspects of the revenue cycle to realize financial leverage and revenue improvement for hospital and physician customers. The company also offers modular solutions, including functional partnership, an outsourcing solutions for improvements across targeted revenue cycle areas for hospital and physician group customers; revenue recovery, to fast-track payer and patient cash collections; revenue optimization, a solution to uncover missed or underreported revenue; clinical integrity, used to improve documentation and coding accuracy to maximize earned revenue for the services provided; and regulatory navigation, a compliance-first solutions for government reimbursement accuracy, pharmacy savings, and compliance. R1 RCM Inc. was formerly known as Accretive Health, Inc. and changed its name to R1 RCM Inc. in January 2017. The company was incorporated in 2003 and is headquartered in Murray, Utah."
NVO,Drug Manufacturers - General,Healthcare,Novo Nordisk A/S,Denmark,"Novo Nordisk A/S, together with its subsidiaries, engages in the research and development, manufacture, and distribution of pharmaceutical products in Europe, the Middle East, Africa, Mainland China, Hong Kong, Taiwan, North America, and internationally. It operates in two segments, Diabetes and Obesity Care, and Rare Disease. The Diabetes and Obesity care segment provides products for diabetes, obesity, cardiovascular, and other emerging therapy areas. The Rare Disease segment offers products in the areas of rare blood disorders, rare endocrine disorders, and hormone replacement therapy. The company also provides insulin pens, growth hormone pens, and injection needles. In addition, it offers smart solutions for diabetes treatment, such as smart insulin pens and Dose Check, an insulin dose guidance application. The company has a collaboration agreement with Aspen Pharmaceuticals to produce insulin products; and with Korro Bio, Inc. for the discovery and development of new genetic medicines to treat cardiometabolic diseases. Novo Nordisk A/S was founded in 1923 and is headquartered in Bagsvaerd, Denmark."
NJR,Utilities - Regulated Gas,Utilities,NewJersey Resources Corporation,United States,"New Jersey Resources Corporation, an energy services holding company, distributes natural gas. The company operates through four segments: Natural Gas Distribution, Clean Energy Ventures, Energy Services, and Storage and Transportation. The Natural Gas Distribution segment offers regulated natural gas utility services to approximately 576,000 customers in Burlington, Middlesex, Monmouth, Morris, Ocean, and Sussex counties in New Jersey; provides capacity and storage management services; and participates in the off-system sales and capacity release markets. The Clean Energy Ventures segment invests in, owns, and operates clean energy projects, including commercial and residential solar installation situated in New Jersey, Rhode Island, New York, Connecticut, Michigan, and Indiana. The Energy Services segment maintains and operates natural gas transportation and storage capacity contracts, as well as provides physical wholesale energy, retail energy and energy management services in the United States and Canada. The Storage and Transportation segment invests in invests in energy-related ventures. It provides heating, ventilation, and cooling services; sales and installation of appliances; offers solar equipment installation, and plumbing repair and installation services; and holds commercial real estate properties. The company was incorporated in 1981 and is headquartered in Wall, New Jersey."
GRBK,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc.",United States,"Green Brick Partners, Inc. is a diversified homebuilding and land development company in the United States. The company operates through three segments: Builder operations Central, Builder operations Southeast, and Land Development. The Builder operations Central segment operates builders in Texas; and the closing and delivery of homes. The Builder operations Southeast operates builders in Georgia and Florida. The Land Development segment acquires land for the development of residential lots that are transferred to our controlled builders or sold to third party homebuilders. It also provides financial services platform, including mortgage and title services. In addition, the company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities. Green Brick Partners, Inc. was incorporated in 2006 and is based in Plano, Texas."
CENX,Aluminum,Basic Materials,Century Aluminum Company,United States,"Century Aluminum Company, together with its subsidiaries, engages in the production of standard-grade and value-added primary aluminum products in the United States and Iceland. It also owns and operates an alumina production facility in Iceland, and a carbon anode production facility in the Netherlands. The company was founded in 1995 and is headquartered in Chicago, Illinois."
TBBK,Banks - Regional,Financial Services,"The Bancorp, Inc.",United States,"The Bancorp, Inc. operates as the bank holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, time, money market, and commercial accounts; overdrafts; and certificates of deposit. The company also provides securities-backed lines of credit and insurance policy cash value-backed lines of credit; investor advisor financing; lease financing for commercial and government vehicle fleets, including trucks and other special purpose vehicles; commercial real estate bridge loans; and small business administration loans. In addition, it offers bill and other payment services; debit and prepaid card issuing services; card and bill payment, and automated clearing house processing services; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware."
MASI,Medical Devices,Healthcare,Masimo Corporation,United States,"Masimo Corporation develops, manufactures, and markets various patient monitoring technologies, and automation and connectivity solutions worldwide. The company offers masimo signal extraction technology (SET) pulse oximetry with measure-through motion and low perfusion pulse oximetry monitoring to address the primary limitations of conventional pulse oximetry; Masimo rainbow SET platform, including rainbow SET Pulse CO-Oximetry products that allows noninvasive monitoring of carboxyhemoglobin, methemoglobin, hemoglobin concentration, fractional arterial oxygen saturation, oxygen content, pleth variability index, rainbow pleth variability index, respiration rate from the pleth, and oxygen reserve index, as well as acoustic respiration monitoring, SedLine brain function monitoring, NomoLine capnography and gas monitoring, and regional oximetry. It also provides brain function and hemodynamic monitoring solutions; patient position and activity tracking, and neuromodulation technology solutions; and Masimo Hospital Automation platform, including hospital automation solutions, including Patient SafetyNet, Patient SafetyNet Surveillance, SafetyNet, Replica, Iris, MyView, UniView, Uniview: 60, Masimo Sleep, Centroid, and Bridg; and nasal high-flow ventilation, neuromodulation therapeutics, and telehealth solutions. In addition, the company provides its products through direct sales force, distributors, and original equipment manufacturers partners to hospitals, emergency medical service and home care providers, long-term care facilities, physician offices, veterinarians, and consumers; and home wellness products through e-commerce internet sites, such as masimopersonalhealth.com, amazon.com, and shopify.com. Masimo Corporation was incorporated in 1989 and is headquartered in Irvine, California."
